"k","signal_mode","method","way","type1_error","n_nonmissing","total_weight","signal_cluster","cluster_n_otus_template","method_label"
8,"both","aitchison_pc1","abund_sum",0.0569,800,87471.7473,NA,NA,"Aitchison(1)"
8,"both","aitchison_pc0.1","abund_sum",0.0607,800,87471.7473,NA,NA,"Aitchison(0.1)"
8,"both","aitchison_pc0.01","abund_sum",0.0523,800,87471.7473,NA,NA,"Aitchison(0.01)"
8,"both","ILR_euclidean_pc0.01","abund_sum",0.0458,800,87471.7473,NA,NA,"ILR Euclidean(0.01)"
8,"both","ILR_euclidean_pc0.1","abund_sum",0.0529,800,87471.7473,NA,NA,"ILR Euclidean(0.1)"
8,"both","ILR_euclidean_pc0.5","abund_sum",0.0496,800,87471.7473,NA,NA,"ILR Euclidean(0.5)"
8,"both","ILR_euclidean_pc1","abund_sum",0.057,800,87471.7473,NA,NA,"ILR Euclidean(1)"
8,"both","bray","abund_sum",0.0249,800,87471.7473,NA,NA,"Bray-Curtis"
8,"both","euclidean","abund_sum",0.0468,800,87471.7473,NA,NA,"Euclidean"
8,"both","jaccard","abund_sum",0.0503,800,87471.7473,NA,NA,"Jaccard"
8,"prevalence","AHC_euclidean","abund_sum",0.0493,800,87471.7473,NA,NA,"AHC"
8,"prevalence","aitchison","abund_sum",0.0443,800,87471.7473,NA,NA,"Aitchison(0.5)"
8,"prevalence","aitchison_pc1","abund_sum",0.0409,800,87471.7473,NA,NA,"Aitchison(1)"
8,"prevalence","aitchison_pc0.1","abund_sum",0.0488,800,87471.7473,NA,NA,"Aitchison(0.1)"
8,"prevalence","aitchison_pc0.01","abund_sum",0.0538,800,87471.7473,NA,NA,"Aitchison(0.01)"
8,"prevalence","ILR_euclidean_pc0.01","abund_sum",0.049,800,87471.7473,NA,NA,"ILR Euclidean(0.01)"
8,"prevalence","ILR_euclidean_pc0.1","abund_sum",0.0475,800,87471.7473,NA,NA,"ILR Euclidean(0.1)"
8,"prevalence","ILR_euclidean_pc0.5","abund_sum",0.047,800,87471.7473,NA,NA,"ILR Euclidean(0.5)"
8,"prevalence","ILR_euclidean_pc1","abund_sum",0.0399,800,87471.7473,NA,NA,"ILR Euclidean(1)"
8,"prevalence","bray","abund_sum",0.0442,800,87471.7473,NA,NA,"Bray-Curtis"
8,"prevalence","euclidean","abund_sum",0.0429,800,87471.7473,NA,NA,"Euclidean"
8,"prevalence","jaccard","abund_sum",0.0661,800,87471.7473,NA,NA,"Jaccard"
2,"abundance","AHC_euclidean","abund_sum_x_mean_abund",0.0351,200,87471.7473,NA,NA,"AHC"
2,"abundance","aitchison","abund_sum_x_mean_abund",0.0605,200,87471.7473,NA,NA,"Aitchison(0.5)"
2,"abundance","aitchison_pc1","abund_sum_x_mean_abund",0.0656,200,87471.7473,NA,NA,"Aitchison(1)"
2,"abundance","aitchison_pc0.1","abund_sum_x_mean_abund",0.0554,200,87471.7473,NA,NA,"Aitchison(0.1)"
2,"abundance","aitchison_pc0.01","abund_sum_x_mean_abund",0.0404,200,87471.7473,NA,NA,"Aitchison(0.01)"
2,"abundance","ILR_euclidean_pc0.01","abund_sum_x_mean_abund",0.0504,200,87471.7473,NA,NA,"ILR Euclidean(0.01)"
2,"abundance","ILR_euclidean_pc0.1","abund_sum_x_mean_abund",0.0605,200,87471.7473,NA,NA,"ILR Euclidean(0.1)"
2,"abundance","ILR_euclidean_pc0.5","abund_sum_x_mean_abund",0.0605,200,87471.7473,NA,NA,"ILR Euclidean(0.5)"
2,"abundance","ILR_euclidean_pc1","abund_sum_x_mean_abund",0.0605,200,87471.7473,NA,NA,"ILR Euclidean(1)"
2,"abundance","bray","abund_sum_x_mean_abund",0.0549,200,87471.7473,NA,NA,"Bray-Curtis"
2,"abundance","euclidean","abund_sum_x_mean_abund",0.0296,200,87471.7473,NA,NA,"Euclidean"
2,"abundance","jaccard","abund_sum_x_mean_abund",0.0502,200,87471.7473,NA,NA,"Jaccard"
2,"both","AHC_euclidean","abund_sum_x_mean_abund",0.04,200,87471.7473,NA,NA,"AHC"
2,"both","aitchison","abund_sum_x_mean_abund",0.0449,200,87471.7473,NA,NA,"Aitchison(0.5)"
2,"both","aitchison_pc1","abund_sum_x_mean_abund",0.0449,200,87471.7473,NA,NA,"Aitchison(1)"
2,"both","aitchison_pc0.1","abund_sum_x_mean_abund",0.0451,200,87471.7473,NA,NA,"Aitchison(0.1)"
2,"both","aitchison_pc0.01","abund_sum_x_mean_abund",0.0549,200,87471.7473,NA,NA,"Aitchison(0.01)"
2,"both","ILR_euclidean_pc0.01","abund_sum_x_mean_abund",0.05,200,87471.7473,NA,NA,"ILR Euclidean(0.01)"
2,"both","ILR_euclidean_pc0.1","abund_sum_x_mean_abund",0.0449,200,87471.7473,NA,NA,"ILR Euclidean(0.1)"
2,"both","ILR_euclidean_pc0.5","abund_sum_x_mean_abund",0.05,200,87471.7473,NA,NA,"ILR Euclidean(0.5)"
2,"both","ILR_euclidean_pc1","abund_sum_x_mean_abund",0.0398,200,87471.7473,NA,NA,"ILR Euclidean(1)"
2,"both","bray","abund_sum_x_mean_abund",0.0649,200,87471.7473,NA,NA,"Bray-Curtis"
2,"both","euclidean","abund_sum_x_mean_abund",0.0446,200,87471.7473,NA,NA,"Euclidean"
2,"both","jaccard","abund_sum_x_mean_abund",0.0349,200,87471.7473,NA,NA,"Jaccard"
2,"prevalence","AHC_euclidean","abund_sum_x_mean_abund",0.0298,200,87471.7473,NA,NA,"AHC"
2,"prevalence","aitchison","abund_sum_x_mean_abund",0.0398,200,87471.7473,NA,NA,"Aitchison(0.5)"
2,"prevalence","aitchison_pc1","abund_sum_x_mean_abund",0.0298,200,87471.7473,NA,NA,"Aitchison(1)"
2,"prevalence","aitchison_pc0.1","abund_sum_x_mean_abund",0.04,200,87471.7473,NA,NA,"Aitchison(0.1)"
2,"prevalence","aitchison_pc0.01","abund_sum_x_mean_abund",0.05,200,87471.7473,NA,NA,"Aitchison(0.01)"
2,"prevalence","ILR_euclidean_pc0.01","abund_sum_x_mean_abund",0.05,200,87471.7473,NA,NA,"ILR Euclidean(0.01)"
2,"prevalence","ILR_euclidean_pc0.1","abund_sum_x_mean_abund",0.05,200,87471.7473,NA,NA,"ILR Euclidean(0.1)"
2,"prevalence","ILR_euclidean_pc0.5","abund_sum_x_mean_abund",0.0349,200,87471.7473,NA,NA,"ILR Euclidean(0.5)"
2,"prevalence","ILR_euclidean_pc1","abund_sum_x_mean_abund",0.0347,200,87471.7473,NA,NA,"ILR Euclidean(1)"
2,"prevalence","bray","abund_sum_x_mean_abund",0.0249,200,87471.7473,NA,NA,"Bray-Curtis"
2,"prevalence","euclidean","abund_sum_x_mean_abund",0.0302,200,87471.7473,NA,NA,"Euclidean"
2,"prevalence","jaccard","abund_sum_x_mean_abund",0.0651,200,87471.7473,NA,NA,"Jaccard"
4,"abundance","AHC_euclidean","abund_sum_x_mean_abund",0.0357,400,87471.7473,NA,NA,"AHC"
4,"abundance","aitchison","abund_sum_x_mean_abund",0.0341,400,87471.7473,NA,NA,"Aitchison(0.5)"
4,"abundance","aitchison_pc1","abund_sum_x_mean_abund",0.0369,400,87471.7473,NA,NA,"Aitchison(1)"
4,"abundance","aitchison_pc0.1","abund_sum_x_mean_abund",0.0284,400,87471.7473,NA,NA,"Aitchison(0.1)"
4,"abundance","aitchison_pc0.01","abund_sum_x_mean_abund",0.0371,400,87471.7473,NA,NA,"Aitchison(0.01)"
4,"abundance","ILR_euclidean_pc0.01","abund_sum_x_mean_abund",0.0342,400,87471.7473,NA,NA,"ILR Euclidean(0.01)"
4,"abundance","ILR_euclidean_pc0.1","abund_sum_x_mean_abund",0.0341,400,87471.7473,NA,NA,"ILR Euclidean(0.1)"
4,"abundance","ILR_euclidean_pc0.5","abund_sum_x_mean_abund",0.0369,400,87471.7473,NA,NA,"ILR Euclidean(0.5)"
4,"abundance","ILR_euclidean_pc1","abund_sum_x_mean_abund",0.0396,400,87471.7473,NA,NA,"ILR Euclidean(1)"
4,"abundance","bray","abund_sum_x_mean_abund",0.0414,400,87471.7473,NA,NA,"Bray-Curtis"
4,"abundance","euclidean","abund_sum_x_mean_abund",0.0321,400,87471.7473,NA,NA,"Euclidean"
4,"abundance","jaccard","abund_sum_x_mean_abund",0.043,400,87471.7473,NA,NA,"Jaccard"
4,"both","AHC_euclidean","abund_sum_x_mean_abund",0.0513,400,87471.7473,NA,NA,"AHC"
4,"both","aitchison","abund_sum_x_mean_abund",0.0686,400,87471.7473,NA,NA,"Aitchison(0.5)"
4,"both","aitchison_pc1","abund_sum_x_mean_abund",0.073,400,87471.7473,NA,NA,"Aitchison(1)"
4,"both","aitchison_pc0.1","abund_sum_x_mean_abund",0.0607,400,87471.7473,NA,NA,"Aitchison(0.1)"
4,"both","aitchison_pc0.01","abund_sum_x_mean_abund",0.0594,400,87471.7473,NA,NA,"Aitchison(0.01)"
4,"both","ILR_euclidean_pc0.01","abund_sum_x_mean_abund",0.0607,400,87471.7473,NA,NA,"ILR Euclidean(0.01)"
4,"both","ILR_euclidean_pc0.1","abund_sum_x_mean_abund",0.0615,400,87471.7473,NA,NA,"ILR Euclidean(0.1)"
4,"both","ILR_euclidean_pc0.5","abund_sum_x_mean_abund",0.0701,400,87471.7473,NA,NA,"ILR Euclidean(0.5)"
4,"both","ILR_euclidean_pc1","abund_sum_x_mean_abund",0.0692,400,87471.7473,NA,NA,"ILR Euclidean(1)"
4,"both","bray","abund_sum_x_mean_abund",0.0513,400,87471.7473,NA,NA,"Bray-Curtis"
4,"both","euclidean","abund_sum_x_mean_abund",0.0431,400,87471.7473,NA,NA,"Euclidean"
4,"both","jaccard","abund_sum_x_mean_abund",0.0401,400,87471.7473,NA,NA,"Jaccard"
4,"prevalence","AHC_euclidean","abund_sum_x_mean_abund",0.057,400,87471.7473,NA,NA,"AHC"
4,"prevalence","aitchison","abund_sum_x_mean_abund",0.0664,400,87471.7473,NA,NA,"Aitchison(0.5)"
4,"prevalence","aitchison_pc1","abund_sum_x_mean_abund",0.065,400,87471.7473,NA,NA,"Aitchison(1)"
4,"prevalence","aitchison_pc0.1","abund_sum_x_mean_abund",0.0656,400,87471.7473,NA,NA,"Aitchison(0.1)"
4,"prevalence","aitchison_pc0.01","abund_sum_x_mean_abund",0.0621,400,87471.7473,NA,NA,"Aitchison(0.01)"
4,"prevalence","ILR_euclidean_pc0.01","abund_sum_x_mean_abund",0.0621,400,87471.7473,NA,NA,"ILR Euclidean(0.01)"
4,"prevalence","ILR_euclidean_pc0.1","abund_sum_x_mean_abund",0.0677,400,87471.7473,NA,NA,"ILR Euclidean(0.1)"
4,"prevalence","ILR_euclidean_pc0.5","abund_sum_x_mean_abund",0.0706,400,87471.7473,NA,NA,"ILR Euclidean(0.5)"
4,"prevalence","ILR_euclidean_pc1","abund_sum_x_mean_abund",0.0608,400,87471.7473,NA,NA,"ILR Euclidean(1)"
4,"prevalence","bray","abund_sum_x_mean_abund",0.0808,400,87471.7473,NA,NA,"Bray-Curtis"
4,"prevalence","euclidean","abund_sum_x_mean_abund",0.0572,400,87471.7473,NA,NA,"Euclidean"
4,"prevalence","jaccard","abund_sum_x_mean_abund",0.0552,400,87471.7473,NA,NA,"Jaccard"
6,"abundance","AHC_euclidean","abund_sum_x_mean_abund",0.0643,600,87471.7473,NA,NA,"AHC"
6,"abundance","aitchison","abund_sum_x_mean_abund",0.0584,600,87471.7473,NA,NA,"Aitchison(0.5)"
6,"abundance","aitchison_pc1","abund_sum_x_mean_abund",0.0613,600,87471.7473,NA,NA,"Aitchison(1)"
6,"abundance","aitchison_pc0.1","abund_sum_x_mean_abund",0.0633,600,87471.7473,NA,NA,"Aitchison(0.1)"
6,"abundance","aitchison_pc0.01","abund_sum_x_mean_abund",0.0543,600,87471.7473,NA,NA,"Aitchison(0.01)"
6,"abundance","ILR_euclidean_pc0.01","abund_sum_x_mean_abund",0.055,600,87471.7473,NA,NA,"ILR Euclidean(0.01)"
6,"abundance","ILR_euclidean_pc0.1","abund_sum_x_mean_abund",0.058,600,87471.7473,NA,NA,"ILR Euclidean(0.1)"
6,"abundance","ILR_euclidean_pc0.5","abund_sum_x_mean_abund",0.0604,600,87471.7473,NA,NA,"ILR Euclidean(0.5)"
6,"abundance","ILR_euclidean_pc1","abund_sum_x_mean_abund",0.0574,600,87471.7473,NA,NA,"ILR Euclidean(1)"
6,"abundance","bray","abund_sum_x_mean_abund",0.0513,600,87471.7473,NA,NA,"Bray-Curtis"
6,"abundance","euclidean","abund_sum_x_mean_abund",0.0456,600,87471.7473,NA,NA,"Euclidean"
