"BootstrapIteration","Outcome","WindowEnd","Window","Estimate"
67,"HRIC distance to personal baseline",30,"Day 1-30",-0.262036451934134
67,"HRIC alpha diversity",60,"Day 1-60",0.00294631327319493
67,"HRIC distance to personal baseline",60,"Day 1-60",-0.229228190072916
68,"HRIC alpha diversity",30,"Day 1-30",0.020967059844313
68,"HRIC distance to personal baseline",30,"Day 1-30",-0.326314841933917
68,"HRIC alpha diversity",60,"Day 1-60",0.0124951069269183
68,"HRIC distance to personal baseline",60,"Day 1-60",-0.300899031367505
69,"HRIC alpha diversity",30,"Day 1-30",0.0125823169186353
69,"HRIC distance to personal baseline",30,"Day 1-30",-0.452527555622641
69,"HRIC alpha diversity",60,"Day 1-60",0.015164581978539
69,"HRIC distance to personal baseline",60,"Day 1-60",-0.483942444425463
70,"HRIC alpha diversity",30,"Day 1-30",0.0117307816568839
70,"HRIC distance to personal baseline",30,"Day 1-30",-0.262731007682547
70,"HRIC alpha diversity",60,"Day 1-60",0.00150717938332003
70,"HRIC distance to personal baseline",60,"Day 1-60",-0.19022084161828
71,"HRIC alpha diversity",30,"Day 1-30",0.0127790205256207
71,"HRIC distance to personal baseline",30,"Day 1-30",-0.4555250006498
71,"HRIC alpha diversity",60,"Day 1-60",0.0125521557137691
71,"HRIC distance to personal baseline",60,"Day 1-60",-0.507208894779708
72,"HRIC alpha diversity",30,"Day 1-30",0.0307021987264437
72,"HRIC distance to personal baseline",30,"Day 1-30",-0.519682600572234
72,"HRIC alpha diversity",60,"Day 1-60",0.0199947411328322
72,"HRIC distance to personal baseline",60,"Day 1-60",-0.426647292431209
73,"HRIC alpha diversity",30,"Day 1-30",0.0205306157020912
73,"HRIC distance to personal baseline",30,"Day 1-30",-0.527456012498035
73,"HRIC alpha diversity",60,"Day 1-60",0.00649489931399015
73,"HRIC distance to personal baseline",60,"Day 1-60",-0.342400137421491
74,"HRIC alpha diversity",30,"Day 1-30",-0.00892784970459176
74,"HRIC distance to personal baseline",30,"Day 1-30",-0.338439686412747
74,"HRIC alpha diversity",60,"Day 1-60",-0.0192792010884877
74,"HRIC distance to personal baseline",60,"Day 1-60",-0.207698745441433
75,"HRIC alpha diversity",30,"Day 1-30",0.0189304143207022
75,"HRIC distance to personal baseline",30,"Day 1-30",-0.576293351060557
75,"HRIC alpha diversity",60,"Day 1-60",0.0142792181174221
75,"HRIC distance to personal baseline",60,"Day 1-60",-0.517062928941135
76,"HRIC alpha diversity",30,"Day 1-30",0.00604281202330558
76,"HRIC distance to personal baseline",30,"Day 1-30",-0.361471861428832
76,"HRIC alpha diversity",60,"Day 1-60",0.00425691096295979
76,"HRIC distance to personal baseline",60,"Day 1-60",-0.350885339540303
77,"HRIC alpha diversity",30,"Day 1-30",0.0281778238556303
77,"HRIC distance to personal baseline",30,"Day 1-30",-0.416540597990057
77,"HRIC alpha diversity",60,"Day 1-60",0.0157827688083535
77,"HRIC distance to personal baseline",60,"Day 1-60",-0.318054917293354
78,"HRIC alpha diversity",30,"Day 1-30",0.0225379023539627
78,"HRIC distance to personal baseline",30,"Day 1-30",-0.495303918897363
78,"HRIC alpha diversity",60,"Day 1-60",0.00727095415922278
78,"HRIC distance to personal baseline",60,"Day 1-60",-0.328726701183133
79,"HRIC alpha diversity",30,"Day 1-30",0.0168529199328518
79,"HRIC distance to personal baseline",30,"Day 1-30",-0.49046141581317
79,"HRIC alpha diversity",60,"Day 1-60",0.00608368981350278
79,"HRIC distance to personal baseline",60,"Day 1-60",-0.362336832568007
80,"HRIC alpha diversity",30,"Day 1-30",0.0214444938212287
80,"HRIC distance to personal baseline",30,"Day 1-30",-0.403932763554579
80,"HRIC alpha diversity",60,"Day 1-60",0.0244185283257979
80,"HRIC distance to personal baseline",60,"Day 1-60",-0.425226396155202
81,"HRIC alpha diversity",30,"Day 1-30",0.0205651717762426
81,"HRIC distance to personal baseline",30,"Day 1-30",-0.46702580541946
81,"HRIC alpha diversity",60,"Day 1-60",0.0122701089419697
81,"HRIC distance to personal baseline",60,"Day 1-60",-0.336294784908046
82,"HRIC alpha diversity",30,"Day 1-30",0.027280845374164
82,"HRIC distance to personal baseline",30,"Day 1-30",-0.513898865269455
82,"HRIC alpha diversity",60,"Day 1-60",0.0168167608107353
82,"HRIC distance to personal baseline",60,"Day 1-60",-0.371125626889883
83,"HRIC alpha diversity",30,"Day 1-30",0.0188633900387745
83,"HRIC distance to personal baseline",30,"Day 1-30",-0.458132516774502
83,"HRIC alpha diversity",60,"Day 1-60",0.0221669087029937
83,"HRIC distance to personal baseline",60,"Day 1-60",-0.468291226756851
84,"HRIC alpha diversity",30,"Day 1-30",0.0337585868390306
84,"HRIC distance to personal baseline",30,"Day 1-30",-0.523451971010595
84,"HRIC alpha diversity",60,"Day 1-60",0.0208745186514312
84,"HRIC distance to personal baseline",60,"Day 1-60",-0.374154498505436
85,"HRIC alpha diversity",30,"Day 1-30",0.0218252742552974
85,"HRIC distance to personal baseline",30,"Day 1-30",-0.431991912405204
85,"HRIC alpha diversity",60,"Day 1-60",0.00528932417863202
85,"HRIC distance to personal baseline",60,"Day 1-60",-0.258973982135189
86,"HRIC alpha diversity",30,"Day 1-30",0.0329169820046352
86,"HRIC distance to personal baseline",30,"Day 1-30",-0.542553743148804
86,"HRIC alpha diversity",60,"Day 1-60",0.0239694120118468
86,"HRIC distance to personal baseline",60,"Day 1-60",-0.358100745740287
87,"HRIC alpha diversity",30,"Day 1-30",0.0130053916257258
87,"HRIC distance to personal baseline",30,"Day 1-30",-0.271207294804041
87,"HRIC alpha diversity",60,"Day 1-60",0.0102898600141047
87,"HRIC distance to personal baseline",60,"Day 1-60",-0.257702954066447
88,"HRIC alpha diversity",30,"Day 1-30",0.0165574001932954
88,"HRIC distance to personal baseline",30,"Day 1-30",-0.342490632660016
88,"HRIC alpha diversity",60,"Day 1-60",0.00651110938433343
88,"HRIC distance to personal baseline",60,"Day 1-60",-0.283782435663323
89,"HRIC alpha diversity",30,"Day 1-30",0.031141344053028
89,"HRIC distance to personal baseline",30,"Day 1-30",-0.582012371520124
89,"HRIC alpha diversity",60,"Day 1-60",0.0138283093338261
89,"HRIC distance to personal baseline",60,"Day 1-60",-0.416608554769756
90,"HRIC alpha diversity",30,"Day 1-30",0.0265217304505348
90,"HRIC distance to personal baseline",30,"Day 1-30",-0.29430932911799
90,"HRIC alpha diversity",60,"Day 1-60",0.0235633409300025
90,"HRIC distance to personal baseline",60,"Day 1-60",-0.306384420611113
91,"HRIC alpha diversity",30,"Day 1-30",0.0346159073336022
91,"HRIC distance to personal baseline",30,"Day 1-30",-0.548134583968801
91,"HRIC alpha diversity",60,"Day 1-60",0.0226102366188509
91,"HRIC distance to personal baseline",60,"Day 1-60",-0.388988003185463
92,"HRIC alpha diversity",30,"Day 1-30",0.0282323222520744
92,"HRIC distance to personal baseline",30,"Day 1-30",-0.523851868345393
92,"HRIC alpha diversity",60,"Day 1-60",0.0111247759677018
92,"HRIC distance to personal baseline",60,"Day 1-60",-0.355348183431714
93,"HRIC alpha diversity",30,"Day 1-30",0.0258836584708638
93,"HRIC distance to personal baseline",30,"Day 1-30",-0.423835185211544
93,"HRIC alpha diversity",60,"Day 1-60",0.0386868658771352
93,"HRIC distance to personal baseline",60,"Day 1-60",-0.45606062691895
94,"HRIC alpha diversity",30,"Day 1-30",0.00567590563303157
94,"HRIC distance to personal baseline",30,"Day 1-30",-0.286561684309085
94,"HRIC alpha diversity",60,"Day 1-60",0.00279146977292418
94,"HRIC distance to personal baseline",60,"Day 1-60",-0.289609600315478
95,"HRIC alpha diversity",30,"Day 1-30",0.031561014639141
95,"HRIC distance to personal baseline",30,"Day 1-30",-0.473229502439752
95,"HRIC alpha diversity",60,"Day 1-60",0.0203468370520455
95,"HRIC distance to personal baseline",60,"Day 1-60",-0.305370034408145
96,"HRIC alpha diversity",30,"Day 1-30",0.00579273272251764
96,"HRIC distance to personal baseline",30,"Day 1-30",-0.23820612343299
96,"HRIC alpha diversity",60,"Day 1-60",0.00829690593260056
96,"HRIC distance to personal baseline",60,"Day 1-60",-0.207439604217491
97,"HRIC alpha diversity",30,"Day 1-30",0.0285793273357316
97,"HRIC distance to personal baseline",30,"Day 1-30",-0.557101437144315
97,"HRIC alpha diversity",60,"Day 1-60",0.0120042496926242
97,"HRIC distance to personal baseline",60,"Day 1-60",-0.354165353767791
98,"HRIC alpha diversity",30,"Day 1-30",0.0158507094545987
98,"HRIC distance to personal baseline",30,"Day 1-30",-0.449080951442119
98,"HRIC alpha diversity",60,"Day 1-60",0.0112924397969156
98,"HRIC distance to personal baseline",60,"Day 1-60",-0.35448910005164
99,"HRIC alpha diversity",30,"Day 1-30",-0.00419884188138982
99,"HRIC distance to personal baseline",30,"Day 1-30",-0.348117937650663
99,"HRIC alpha diversity",60,"Day 1-60",0.0056779151537648
99,"HRIC distance to personal baseline",60,"Day 1-60",-0.351072507965596
100,"HRIC alpha diversity",30,"Day 1-30",0.0205110847955043
100,"HRIC distance to personal baseline",30,"Day 1-30",-0.35416768600471
100,"HRIC alpha diversity",60,"Day 1-60",0.00774331697713078
100,"HRIC distance to personal baseline",60,"Day 1-60",-0.20763370856736
101,"HRIC alpha diversity",30,"Day 1-30",0.0244746530974781
101,"HRIC distance to personal baseline",30,"Day 1-30",-0.376351502512496
101,"HRIC alpha diversity",60,"Day 1-60",0.0140602705623681
101,"HRIC distance to personal baseline",60,"Day 1-60",-0.265858324767957
102,"HRIC alpha diversity",30,"Day 1-30",0.0139986896864854
102,"HRIC distance to personal baseline",30,"Day 1-30",-0.421147643687927
102,"HRIC alpha diversity",60,"Day 1-60",0.0150025169017723
