"Outcome","EventTime","Arm","Estimate","Lower","Upper"
"HRIC alpha diversity",53,"Auto-FMT",0.0574915269213412,0.0454714518401362,0.0695116020025462
"HRIC alpha diversity",54,"Control",0.0556934116508375,0.0421994331878389,0.069187390113836
"HRIC alpha diversity",54,"Auto-FMT",0.0569658041215551,0.0445737840903443,0.0693578241527659
"HRIC alpha diversity",55,"Control",0.0556828716403617,0.0418328302971843,0.0695329129835391
"HRIC alpha diversity",55,"Auto-FMT",0.056440081321769,0.043665736669189,0.0692144259743489
"HRIC alpha diversity",56,"Control",0.0556723316298859,0.0414590885582099,0.069885574701562
"HRIC alpha diversity",56,"Auto-FMT",0.0559143585219829,0.0427482137747643,0.0690805032692014
"HRIC alpha diversity",57,"Control",0.0556617916194102,0.0410787413561649,0.0702448418826555
"HRIC alpha diversity",57,"Auto-FMT",0.0553886357221967,0.0418220363303311,0.0689552351140624
"HRIC alpha diversity",58,"Control",0.0556512516089344,0.0406922785724891,0.0706102246453798
"HRIC alpha diversity",58,"Auto-FMT",0.0548629129224106,0.040887948308256,0.0688378775365652
"HRIC alpha diversity",59,"Control",0.0556407115984587,0.0403001497903362,0.0709812734065811
"HRIC alpha diversity",59,"Auto-FMT",0.0543371901226245,0.0399466231349336,0.0687277571103154
"HRIC alpha diversity",60,"Control",0.0556301715879829,0.0399027674210035,0.0713575757549623
"HRIC alpha diversity",60,"Auto-FMT",0.0538114673228384,0.0389986699556827,0.068624264689994
"HRIC distance to personal baseline",1,"Control",1.97041069425883,1.86930425101454,2.07151713750313
"HRIC distance to personal baseline",1,"Auto-FMT",1.23643172885871,0.978888133784346,1.49397532393307
"HRIC distance to personal baseline",2,"Control",1.97438347872063,1.878628844118,2.07013811332326
"HRIC distance to personal baseline",2,"Auto-FMT",1.26063066485658,1.02822735324245,1.49303397647071
"HRIC distance to personal baseline",3,"Control",1.97835626318242,1.88661995036109,2.07009257600376
"HRIC distance to personal baseline",3,"Auto-FMT",1.28482960085446,1.07583387324769,1.49382532846123
"HRIC distance to personal baseline",4,"Control",1.98232904764422,1.89309723721755,2.07156085807089
"HRIC distance to personal baseline",4,"Auto-FMT",1.30902853685234,1.1210592625285,1.49699781117618
"HRIC distance to personal baseline",5,"Control",1.98630183210602,1.89793190082965,2.07467176338238
"HRIC distance to personal baseline",5,"Auto-FMT",1.33322747285021,1.16301877435023,1.5034361713502
