"Taxon","AHC","CLR_pc0.01","CLR_pc0.5","CLR_pc1","DESeq2","LEfSe"
"AB974155.1.1383",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"AB974159.1.1435",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AB980103.1.1464",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"AB980107.1.1483",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"ABCK01000018.55488.56984",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ABEF01035295.3.1524",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"ABEF01046320.1.1206",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ABEF01053190.2655.3868",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"ABEF01054107.3077.4560",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ABEF01054488.3654.5112",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AC236360.17941.19743",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"ACJI01001305.31646.33372",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"ACNW01000116.2679.4120",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"ADAC02000001.853899.855372",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"ADAE01000015.413.1876",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ADIF01000149.392.1892",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"ADIF01001074.28.1553",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"AEUE01000008.155488.156954",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"AF001377.1.1408",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"AF001653.1.1553",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF001659.1.1490",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"AF063241.1.1778",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"AF069516.1.1826",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
