"method","MethodLabel","Taxon","baseMean","statistic","p_value","padj","significant","total_count","prevalence_n","prevalence_fraction","mean_relative_abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"DESeq2_LRT","DESeq2","GU235046.1.1289",1.72670387857694,4.72573346993835,0.0941499330508816,0.124149077678629,FALSE,290,36,0.208092485549133,9.00228606167174e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured"
"DESeq2_LRT","DESeq2","GU235112.1.1356",0.401626914529623,44.4073796907199,2.27541188548514e-10,1.2226406721086e-09,TRUE,86,35,0.202312138728324,2.003191561928e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324",NA,NA
"DESeq2_LRT","DESeq2","GU235117.1.1392",0.310629211268655,5.21406549473136,0.0737530633728643,0.100345474787351,FALSE,52,24,0.138728323699422,1.33922801823443e-05,"Bacteria","Marinimicrobia",NA,NA,NA,NA
"DESeq2_LRT","DESeq2","GU235127.1.1377",1.70806082544791,2.16671378664302,0.338457450959265,0.386903321390689,FALSE,887,31,0.179190751445087,0.000217022935599808,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Psychromonadaceae","Psychromonas"
"DESeq2_LRT","DESeq2","GU235132.1.1380",1.40994005927476,1.27639835211045,0.528242840375561,0.573167155538852,FALSE,305,26,0.15028901734104,7.89769369100056e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Balneatrix"
"DESeq2_LRT","DESeq2","GU235154.1.1372",1.10714123119349,30.9138311641857,1.93707687028674e-07,6.8031073215492e-07,TRUE,191,55,0.317919075144509,5.56272186258573e-05,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4"
"DESeq2_LRT","DESeq2","GU235158.1.1349",3.02488178148453,26.9993397149652,1.37141177298953e-06,4.24155471433897e-06,TRUE,508,22,0.127167630057803,0.000162236320848305,"Bacteria","Nitrospinae","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina"
"DESeq2_LRT","DESeq2","GU235159.1.1373",0.670343514223687,2.27574255329785,0.32050055317466,0.368453187085683,FALSE,107,33,0.190751445086705,3.0062960421241e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Pseudohongiella"
"DESeq2_LRT","DESeq2","GU235227.1.1367",0.287989824269052,1.39494308958677,0.497842486183217,0.544161555087538,FALSE,56,20,0.115606936416185,1.46421877618258e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","J8P41000-1F04","uncultured"
"DESeq2_LRT","DESeq2","GU235240.1.1269",2.40753069291197,191.824504777767,2.2173693524408e-42,3.8303002443644e-40,TRUE,542,70,0.404624277456647,0.000113588021053226,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"DESeq2_LRT","DESeq2","GU235302.1.1328",2.53931190136651,1.58530831692292,0.452641816433218,0.500384316625866,FALSE,424,67,0.38728323699422,0.000131881603349322,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"DESeq2_LRT","DESeq2","GU235422.1.1315",2.30896347806537,5.0459504530798,0.0802205769523634,0.107979443262864,FALSE,428,28,0.161849710982659,0.000108988313644386,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"DESeq2_LRT","DESeq2","GU235451.1.1318",2.6481254503757,3.56177064959184,0.168488913805071,0.207672382131832,FALSE,441,68,0.393063583815029,0.000131610362464377,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11",NA,NA
"DESeq2_LRT","DESeq2","GU235488.1.1379",0.443372295521433,2.43508402533172,0.29595673151244,0.343027384635691,FALSE,409,21,0.121387283236994,0.000102817936087684,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Balneatrix"
"DESeq2_LRT","DESeq2","GU235532.1.1367",12.25137235016,6.9840749153791,0.0304387911998266,0.0453132850801122,TRUE,2226,37,0.213872832369942,0.000566086894081307,"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","SAR92"
"DESeq2_LRT","DESeq2","GU235633.1.1364",31.0830201634691,5.11824829453099,0.0773724776711953,0.104598619089407,FALSE,11708,37,0.213872832369942,0.00296315961467022,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter"
"DESeq2_LRT","DESeq2","GU235647.1.1379",0.360110978024333,1.28821923308533,0.525129900988201,0.570245834274498,FALSE,118,19,0.109826589595376,3.06119351459976e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8",NA,NA
