"rep_id","transformation","power","fdr","TP","FP","FN","rejections","alpha","beta0","beta","q"
52,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
52,"CLR",0,NA,0,0,25,0,1,1,1,0.2
52,"ILR",0.04,0,1,0,24,1,1,1,1,0.2
53,"AHC",0,1,0,1,25,1,1,1,1,0.2
53,"ALR",0,NA,0,0,25,0,1,1,1,0.2
53,"CLR",0,NA,0,0,25,0,1,1,1,0.2
53,"ILR",0,1,0,4,25,4,1,1,1,0.2
54,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
54,"ALR",0.08,0,2,0,23,2,1,1,1,0.2
54,"CLR",0,NA,0,0,25,0,1,1,1,0.2
54,"ILR",0.04,0.5,1,1,24,2,1,1,1,0.2
55,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
55,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
55,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
55,"ILR",0.04,0.5,1,1,24,2,1,1,1,0.2
56,"AHC",0,1,0,1,25,1,1,1,1,0.2
56,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
56,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
56,"ILR",0,1,0,2,25,2,1,1,1,0.2
57,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
57,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
57,"CLR",0,1,0,2,25,2,1,1,1,0.2
57,"ILR",0.04,0.75,1,3,24,4,1,1,1,0.2
58,"AHC",0,1,0,1,25,1,1,1,1,0.2
58,"ALR",0.4,0,10,0,15,10,1,1,1,0.2
58,"CLR",0,1,0,1,25,1,1,1,1,0.2
58,"ILR",0,1,0,2,25,2,1,1,1,0.2
59,"AHC",0,1,0,1,25,1,1,1,1,0.2
59,"ALR",0,NA,0,0,25,0,1,1,1,0.2
59,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
59,"ILR",0.04,0.833333333333333,1,5,24,6,1,1,1,0.2
60,"AHC",0,NA,0,0,25,0,1,1,1,0.2
60,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
60,"CLR",0,NA,0,0,25,0,1,1,1,0.2
60,"ILR",0,NA,0,0,25,0,1,1,1,0.2
61,"AHC",0,NA,0,0,25,0,1,1,1,0.2
61,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
61,"CLR",0,NA,0,0,25,0,1,1,1,0.2
61,"ILR",0,1,0,1,25,1,1,1,1,0.2
62,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
62,"ALR",0,NA,0,0,25,0,1,1,1,0.2
62,"CLR",0,1,0,2,25,2,1,1,1,0.2
62,"ILR",0,1,0,4,25,4,1,1,1,0.2
63,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
63,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
63,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
63,"ILR",0,1,0,1,25,1,1,1,1,0.2
64,"AHC",0.08,0,2,0,23,2,1,1,1,0.2
64,"ALR",0,NA,0,0,25,0,1,1,1,0.2
64,"CLR",0.08,0,2,0,23,2,1,1,1,0.2
64,"ILR",0,1,0,1,25,1,1,1,1,0.2
65,"AHC",0,1,0,1,25,1,1,1,1,0.2
65,"ALR",0,NA,0,0,25,0,1,1,1,0.2
65,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
65,"ILR",0,1,0,3,25,3,1,1,1,0.2
66,"AHC",0,1,0,1,25,1,1,1,1,0.2
66,"ALR",0,NA,0,0,25,0,1,1,1,0.2
66,"CLR",0,NA,0,0,25,0,1,1,1,0.2
66,"ILR",0,NA,0,0,25,0,1,1,1,0.2
67,"AHC",0,NA,0,0,25,0,1,1,1,0.2
67,"ALR",0,NA,0,0,25,0,1,1,1,0.2
67,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
67,"ILR",0,1,0,1,25,1,1,1,1,0.2
68,"AHC",0.04,0.5,1,1,24,2,1,1,1,0.2
68,"ALR",0.12,0,3,0,22,3,1,1,1,0.2
68,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
68,"ILR",0,1,0,4,25,4,1,1,1,0.2
69,"AHC",0,NA,0,0,25,0,1,1,1,0.2
69,"ALR",0,NA,0,0,25,0,1,1,1,0.2
69,"CLR",0,NA,0,0,25,0,1,1,1,0.2
69,"ILR",0,NA,0,0,25,0,1,1,1,0.2
70,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
70,"ALR",0,NA,0,0,25,0,1,1,1,0.2
70,"CLR",0,NA,0,0,25,0,1,1,1,0.2
70,"ILR",0,NA,0,0,25,0,1,1,1,0.2
71,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
71,"ALR",0,NA,0,0,25,0,1,1,1,0.2
71,"CLR",0,1,0,1,25,1,1,1,1,0.2
71,"ILR",0,1,0,3,25,3,1,1,1,0.2
72,"AHC",0,NA,0,0,25,0,1,1,1,0.2
72,"ALR",0,NA,0,0,25,0,1,1,1,0.2
72,"CLR",0,NA,0,0,25,0,1,1,1,0.2
72,"ILR",0,1,0,1,25,1,1,1,1,0.2
73,"AHC",0.04,0,1,0,24,1,1,1,1,0.2
73,"ALR",0.12,0,3,0,22,3,1,1,1,0.2
73,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
73,"ILR",0,1,0,1,25,1,1,1,1,0.2
74,"AHC",0.08,0,2,0,23,2,1,1,1,0.2
74,"ALR",0,NA,0,0,25,0,1,1,1,0.2
74,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
74,"ILR",0,1,0,3,25,3,1,1,1,0.2
75,"AHC",0.08,0,2,0,23,2,1,1,1,0.2
75,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
75,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
75,"ILR",0,1,0,3,25,3,1,1,1,0.2
76,"AHC",0,1,0,1,25,1,1,1,1,0.2
76,"ALR",0,NA,0,0,25,0,1,1,1,0.2
76,"CLR",0,NA,0,0,25,0,1,1,1,0.2
76,"ILR",0.04,0.5,1,1,24,2,1,1,1,0.2
77,"AHC",0,NA,0,0,25,0,1,1,1,0.2
77,"ALR",0,NA,0,0,25,0,1,1,1,0.2
77,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
77,"ILR",0,1,0,1,25,1,1,1,1,0.2
78,"AHC",0,NA,0,0,25,0,1,1,1,0.2
78,"ALR",0,NA,0,0,25,0,1,1,1,0.2
78,"CLR",0,NA,0,0,25,0,1,1,1,0.2
78,"ILR",0.04,0,1,0,24,1,1,1,1,0.2
79,"AHC",0.04,0.666666666666667,1,2,24,3,1,1,1,0.2
79,"ALR",0.04,0,1,0,24,1,1,1,1,0.2
79,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
79,"ILR",0.04,0.75,1,3,24,4,1,1,1,0.2
80,"AHC",0.08,0.333333333333333,2,1,23,3,1,1,1,0.2
80,"ALR",0,NA,0,0,25,0,1,1,1,0.2
80,"CLR",0.04,0,1,0,24,1,1,1,1,0.2
80,"ILR",0.04,0.5,1,1,24,2,1,1,1,0.2
81,"AHC",0,1,0,1,25,1,1,1,1,0.2
81,"ALR",0.16,0,4,0,21,4,1,1,1,0.2
81,"CLR",0.04,0.5,1,1,24,2,1,1,1,0.2
81,"ILR",0,1,0,4,25,4,1,1,1,0.2
82,"AHC",0,1,0,2,25,2,1,1,1,0.2
82,"ALR",0,NA,0,0,25,0,1,1,1,0.2
82,"CLR",0,NA,0,0,25,0,1,1,1,0.2
82,"ILR",0,1,0,1,25,1,1,1,1,0.2
