"replicate","k","signal_mode","beta","normalized_between_group_turnover","manova_pseudo_F","ss_between"
94,12,"Abundance",0.05,0.00374622404762676,0.994743769876593,0.877520281795689
95,12,"Abundance",0.05,0.00419279669683252,1.12982450580743,0.982126026671396
96,12,"Abundance",0.05,0.00376607967672846,1.01276539480911,0.882171289589941
97,12,"Abundance",0.05,0.00373469949118483,1.00278422160217,0.874820755048777
98,12,"Abundance",0.05,0.00355292118373068,0.955178781958321,0.8322407732982
99,12,"Abundance",0.05,0.00332396149337786,0.89567239556148,0.778608964457101
100,12,"Abundance",0.05,0.00341931700625445,0.917944047334576,0.800945160975629
101,12,"Abundance",0.05,0.00418667775144502,1.10506103607225,0.98069271712758
102,12,"Abundance",0.05,0.00374385616489155,1.01386287402684,0.87696562593458
103,12,"Abundance",0.05,0.00363320220985181,0.977796497272083,0.85104590288176
104,12,"Abundance",0.05,0.0036622569209718,0.978630872317148,0.85785171533861
105,12,"Abundance",0.05,0.00393044314254777,1.05351799811417,0.920671996704365
106,12,"Abundance",0.05,0.00370676378650421,0.989120617404469,0.868277060082365
107,12,"Abundance",0.05,0.0038285018923497,1.02466835373463,0.896793148706191
108,12,"Abundance",0.05,0.0037990241581272,1.01947295380676,0.889888246780204
109,12,"Abundance",0.05,0.00354563161618262,0.954852081418131,0.830533255731821
110,12,"Abundance",0.05,0.0037591592132261,1.00357100220837,0.880550231424299
111,12,"Abundance",0.05,0.00367483320476515,1.00125910490461,0.860797600036911
112,12,"Abundance",0.05,0.00377659757811581,1.00929035075974,0.884635016177573
113,12,"Abundance",0.05,0.00413496248630812,1.09873576973063,0.968578867699689
114,12,"Abundance",0.05,0.00425182938306079,1.13435832243492,0.995953918115054
115,12,"Abundance",0.05,0.00401096269906871,1.07248928870161,0.93953299995191
116,12,"Abundance",0.05,0.00384022342354411,1.02406685425693,0.899538815069443
117,12,"Abundance",0.05,0.00353784221346939,0.935063902409879,0.828708656141125
118,12,"Abundance",0.05,0.00377176422762689,1.00925084587443,0.883502846016593
119,12,"Abundance",0.05,0.00405560299600892,1.09141985431908,0.949989599838204
120,12,"Abundance",0.05,0.00366794425715641,0.988331577921703,0.859183924194239
121,12,"Abundance",0.05,0.00337843001014205,0.902730114133916,0.791367739045125
122,12,"Abundance",0.05,0.00337340526702822,0.905081972038651,0.790190736832457
123,12,"Abundance",0.05,0.00395773784369305,1.05407209637694,0.927065542188042
124,12,"Abundance",0.05,0.00353748222023132,0.949042402328981,0.828624330867537
125,12,"Abundance",0.05,0.00364195208502071,0.969614795044589,0.853095484761079
1,12,"Abundance",0.1,0.0039952959288176,1.06288655155789,0.935863195778216
2,12,"Abundance",0.1,0.00385999894580109,1.0315070661272,0.90417105853459
3,12,"Abundance",0.1,0.00431602045051159,1.15501444406655,1.01099011533178
4,12,"Abundance",0.1,0.00380241172688926,1.00676696589917,0.890681755192107
5,12,"Abundance",0.1,0.00385126330681819,1.02425064937177,0.902124811357564
6,12,"Abundance",0.1,0.00388179613223646,1.03180945043454,0.909276859186116
7,12,"Abundance",0.1,0.00400845714971345,1.0752863753797,0.938946096886767
8,12,"Abundance",0.1,0.00345621699699183,0.928731850552601,0.809588661700213
9,12,"Abundance",0.1,0.00369398364402753,0.988523583173093,0.865283423267015
10,12,"Abundance",0.1,0.00316558097245472,0.834969553931236,0.741509709958566
11,12,"Abundance",0.1,0.00361705419455479,0.971250070261951,0.847263371256926
12,12,"Abundance",0.1,0.00406597381644485,1.08493081444699,0.95241887399684
13,12,"Abundance",0.1,0.00418393678637315,1.11496516659589,0.980050669985796
14,12,"Abundance",0.1,0.00427940365509909,1.15187280770021,1.00241295063999
15,12,"Abundance",0.1,0.00376984104146758,1.00258716447045,0.88305235644656
16,12,"Abundance",0.1,0.0039791348652196,1.06376190051681,0.93207760770277
17,12,"Abundance",0.1,0.00338395202267708,0.903446273284612,0.792661222278966
18,12,"Abundance",0.1,0.00367435754157933,0.993529251303382,0.860686180087769
19,12,"Abundance",0.1,0.00371971694301583,0.998557055056233,0.871311223925135
20,12,"Abundance",0.1,0.00386319282639062,1.0374211926833,0.904919197182828
21,12,"Abundance",0.1,0.00403904452097824,1.07286199357754,0.946110921603717
22,12,"Abundance",0.1,0.00401495172770846,1.07170150887321,0.940467395089939
23,12,"Abundance",0.1,0.00347653334331144,0.93011679886437,0.814347588481104
24,12,"Abundance",0.1,0.00355806392479647,0.950465804286356,0.833445415501096
25,12,"Abundance",0.1,0.00388880840980916,1.03965023719555,0.910919423996286
26,12,"Abundance",0.1,0.00358194563233713,0.950175089532344,0.839039497025424
27,12,"Abundance",0.1,0.00383803024661064,1.01969700715385,0.89902508251735
28,12,"Abundance",0.1,0.00433725464606732,1.16163100053992,1.01596404028419
29,12,"Abundance",0.1,0.00362543500943551,0.967326545072097,0.849226503985323
30,12,"Abundance",0.1,0.00386494525513193,1.02752754685746,0.905329688318259
31,12,"Abundance",0.1,0.00349327591567816,0.943896032498398,0.818269389909538
32,12,"Abundance",0.1,0.00382868610669092,1.01377447924161,0.89683629930758
33,12,"Abundance",0.1,0.00386847186419337,1.03094471814228,0.906155765706587
34,12,"Abundance",0.1,0.00374869856187227,1.01445255643252,0.878099915157286
35,12,"Abundance",0.1,0.00391532904451455,1.05415842911079,0.917131651173345
36,12,"Abundance",0.1,0.00395224728144774,1.05557817362451,0.925779425910037
37,12,"Abundance",0.1,0.00335452994608457,0.887874811795939,0.785769357666966
38,12,"Abundance",0.1,0.00371747814103841,0.989509773511115,0.87078680410477
39,12,"Abundance",0.1,0.00358238513328185,0.955218810477214,0.839142446285257
40,12,"Abundance",0.1,0.00379517819752293,1.01612610874799,0.888987364080628
41,12,"Abundance",0.1,0.00359803439447459,0.956920562172074,0.842808149114859
42,12,"Abundance",0.1,0.00331931023645921,0.885621472645941,0.777519448125444
43,12,"Abundance",0.1,0.00346976084345997,0.925846128090558,0.812761189509069
44,12,"Abundance",0.1,0.00358461567067151,0.95874446755667,0.839664930198088
45,12,"Abundance",0.1,0.00385116423335201,1.02609830363609,0.902101604262947
46,12,"Abundance",0.1,0.00368936196884692,1.0050313267144,0.864200836199272
47,12,"Abundance",0.1,0.00383517885311519,1.02458179000674,0.898357168481292
48,12,"Abundance",0.1,0.00339772402642206,0.907458293026604,0.795887193938306
49,12,"Abundance",0.1,0.00393916622081245,1.05144280726477,0.922715301642788
50,12,"Abundance",0.1,0.00356692559409761,0.955138370851178,0.835521184180013
51,12,"Abundance",0.1,0.00376700283452543,1.00395518648319,0.8823875312455
52,12,"Abundance",0.1,0.00376912920901788,1.00274178669181,0.882885615908912
53,12,"Abundance",0.1,0.00389240185720843,1.0420096374992,0.911761157681804
54,12,"Abundance",0.1,0.00430505686614153,1.15308830519972,1.00842199139589
55,12,"Abundance",0.1,0.00389438952921768,1.04548265985282,0.912226752499273
56,12,"Abundance",0.1,0.00366481316954626,0.968206698450467,0.858450494253293
57,12,"Abundance",0.1,0.00363690173431282,0.963684492171735,0.851912484193045
58,12,"Abundance",0.1,0.00388819984495063,1.03607672509821,0.910776872990422
59,12,"Abundance",0.1,0.00442756905110547,1.19846813562807,1.03711940129616
60,12,"Abundance",0.1,0.00345997723753995,0.924864788153221,0.810469465224906
61,12,"Abundance",0.1,0.00367067567755168,0.984141737540289,0.859823735578843
62,12,"Abundance",0.1,0.00359070670855761,0.964854460653987,0.84109170265331
63,12,"Abundance",0.1,0.00368231418390742,0.987193480555215,0.862549954098367
64,12,"Abundance",0.1,0.00382269552219258,1.02217163955844,0.895433057181564
65,12,"Abundance",0.1,0.00370688482621288,0.977732246967544,0.868305412577548
66,12,"Abundance",0.1,0.00363731284202083,0.975942707760067,0.852008782585016
67,12,"Abundance",0.1,0.00332079750513197,0.892658118588597,0.777867827829435
68,12,"Abundance",0.1,0.00357419760048206,0.958356229447498,0.837224588197129
69,12,"Abundance",0.1,0.00363576323804033,0.976347661527759,0.851645801379312
70,12,"Abundance",0.1,0.00420334405323304,1.13396117714065,0.984596652838735
71,12,"Abundance",0.1,0.00396849765732531,1.06093410504572,0.929585934607346
72,12,"Abundance",0.1,0.00379007593351929,1.02254999967989,0.887792203276218
73,12,"Abundance",0.1,0.00395739583967537,1.06991934836533,0.926985430732307
74,12,"Abundance",0.1,0.00413126236727384,1.10652046176497,0.967712147114817
75,12,"Abundance",0.1,0.0038106958650375,1.02166702556661,0.892622242239835
76,12,"Abundance",0.1,0.00393491178180357,1.05089432765475,0.921718736442605
77,12,"Abundance",0.1,0.00379161989556202,1.00531874484245,0.888153862907243
78,12,"Abundance",0.1,0.00394321904158553,1.04610698680153,0.923664639531193
79,12,"Abundance",0.1,0.00398959073401037,1.06925656403383,0.934526803696135
80,12,"Abundance",0.1,0.00369184407007265,0.982649363790513,0.864782246744754
81,12,"Abundance",0.1,0.00382869027084485,1.02360286630173,0.896837274724297
82,12,"Abundance",0.1,0.00375366505349642,1.01215287895987,0.879263272466978
