diff_otu_direct,diff_otu_mode,depth_mu,depth_theta,covariate_eff_sd,confounder_eff_sd,depth_conf_factor,diff_otu_pct,transformation,mean_power,mean_fdp,sd_power,n_rep
balanced,rare,1000,3.94,0.5,0,0,0.2,ALR_last_ref,0.07400000000000002,0.10608356676003734,0.08856709920340387,100
balanced,rare,1000,3.94,0.5,0,0,0.2,ALR_minvar_ref,0.047631578947368435,0.012833333333333332,0.05012854569208551,100
balanced,rare,1000,3.94,0.5,0,0,0.2,ALR_nondiff_ref,0.020999999999999998,0.014999999999999993,0.0311237348126292,100
balanced,rare,1000,3.94,0.5,0,0,0.2,ALR_random_ref,0.03013157894736843,0.04496464646464644,0.07461661807755848,100
balanced,rare,1000,3.94,0.5,0,0,0.2,ALR_signal_ref,0.08105263157894739,0.11691690009337069,0.08737412150014061,100
balanced,rare,1000,3.94,0.5,0,0,0.2,CLR,0.057,0.0033333333333333314,0.04661252270288822,100
balanced,rare,1000,3.94,0.5,0,0,0.2,ILR,0.04700000000000001,0.14033333333333328,0.04370470237973267,100
balanced,rare,1000,3.94,0.5,0,0,0.2,RAHC_last_ref,0.049815789473684216,0.07666666666666666,0.05413361090950397,100
balanced,rare,1000,3.94,0.5,0,0,0.2,RAHC_minvar_ref,0.0315,0.004999999999999997,0.03827335919126438,100
balanced,rare,1000,3.94,0.5,0,0,0.2,RAHC_nondiff_ref,0.014,0.009999999999999995,0.024700222875533147,100
balanced,rare,1000,3.94,0.5,0,0,0.2,RAHC_random_ref,0.018210526315789472,0.022857142857142836,0.05839242848531436,100
balanced,rare,1000,3.94,0.5,0,0,0.2,RAHC_signal_ref,0.05000000000000001,0.08666666666666666,0.054652841118597875,100
balanced,rare,1000,7.75,0,0,0,0.05,AHC,0.039999999999999994,0.01499999999999999,0.08040302522073703,100
balanced,rare,1000,7.75,0,0,0,0.05,ALR_last_ref,0.022,0.075,0.06678776879493768,100
balanced,rare,1000,7.75,0,0,0,0.05,ALR_minvar_ref,0.01699999999999999,0.009999999999999993,0.06824643402827547,100
balanced,rare,1000,7.75,0,0,0,0.05,ALR_nondiff_ref,0.013999999999999992,0.019999999999999987,0.05128647999524855,100
balanced,rare,1000,7.75,0,0,0,0.05,ALR_random_ref,0.01599999999999999,0.04999999999999998,0.07347094526395992,100
balanced,rare,1000,7.75,0,0,0,0.05,ALR_signal_ref,0.09249999999999999,0.2408836261777438,0.16149162657718646,100
balanced,rare,1000,7.75,0,0,0,0.05,CLR,0.04599999999999999,0.019999999999999993,0.08459051693633016,100
balanced,rare,1000,7.75,0,0,0,0.05,ILR,0,0.25,0,100
balanced,rare,1000,7.75,0,0,0,0.05,RAHC_last_ref,0.015499999999999993,0.026666666666666693,0.057161387688056,100
balanced,rare,1000,7.75,0,0,0,0.05,RAHC_minvar_ref,0.010499999999999995,0,0.04621808207954021,100
balanced,rare,1000,7.75,0,0,0,0.05,RAHC_nondiff_ref,0.007999999999999995,0.009999999999999995,0.03938927711338645,100
balanced,rare,1000,7.75,0,0,0,0.05,RAHC_random_ref,0.010499999999999999,0.04,0.04621808207954021,100
balanced,rare,1000,7.75,0,0,0,0.05,RAHC_signal_ref,0.049999999999999996,0.1524242424242424,0.11236664374387356,100
balanced,rare,1000,7.75,0,0,0,0.1,AHC,0.028999999999999998,0.05499999999999998,0.05182526976156119,100
balanced,rare,1000,7.75,0,0,0,0.1,ALR_last_ref,0.018555555555555533,0.07500000000000001,0.049490608847893386,100
balanced,rare,1000,7.75,0,0,0,0.1,ALR_minvar_ref,0.020888888888888887,0.03666666666666667,0.06682136932470586,100
balanced,rare,1000,7.75,0,0,0,0.1,ALR_nondiff_ref,0.004999999999999998,0.049999999999999975,0.02190429135575901,100
balanced,rare,1000,7.75,0,0,0,0.1,ALR_random_ref,0.014333333333333335,0.07499999999999998,0.041582818739426465,100
balanced,rare,1000,7.75,0,0,0,0.1,ALR_signal_ref,0.07444444444444437,0.16505555555555557,0.11503183573395309,100
balanced,rare,1000,7.75,0,0,0,0.1,CLR,0.036,0.048333333333333325,0.05599422769673257,100
